date,open,high,low,close,volume,log_close,return
2015-01-05,7118.583297955547,7118.583297955547,7088.92236328125,7088.92236328125,1270255,8.86628861407848,NA
2015-01-06,7044.43432985543,7133.41650390625,7044.43432985543,7133.41650390625,1690501,8.872545571699973,0.006256957621493697
2015-01-07,7133.414837109039,7177.90625,7133.414837109039,7177.90625,1883257,8.878763010881107,0.006217439181133599
2015-01-08,7163.073634982104,7163.073634982104,7103.752441406251,7103.75244140625,1055489,8.868378436289786,-0.010384574591320472
2015-01-09,7103.754473052263,7163.07568359375,7103.754473052263,7163.07568359375,1486926,8.876694732465898,0.008316296176111848
2015-01-12,7163.074998208926,7207.56640625,7163.074998208926,7207.56640625,3153234,8.882886642963003,0.006191910497104658
2015-01-13,7177.907990383972,7222.3994140625,7177.907990383972,7222.3994140625,1124029,8.884942505495403,0.0020558625323996438
2015-01-14,7222.396875597024,7222.396875597024,7207.56640625,7207.56640625,1955511,8.882886642963003,-0.0020558625323996438
2015-01-15,7237.22988862201,7237.22988862201,7222.3994140625,7222.3994140625,1309076,8.884942505495403,0.0020558625323996438
2015-01-16,7237.2297037922735,7237.2297037922735,7192.73828125,7192.73828125,809564,8.88082722400451,-0.004115281490893352
2015-01-19,7192.735655688368,7192.735655688368,7118.583984375,7118.583984375,1704292,8.870464106028033,-0.010363117976476488
2015-01-20,7118.583984375,7118.583984375,7118.583984375,7118.583984375,1597443,8.870464106028033,0
2015-01-21,7148.245308072693,7177.90625,7148.245308072693,7177.90625,2819870,8.878763010881107,0.008298904853074163
2015-01-22,7207.566999457997,7207.566999457997,7148.245117187499,7148.2451171875,1389364,8.874622167407585,-0.004140843473521727
2015-01-23,7177.90625,7177.90625,7177.90625,7177.90625,1793728,8.878763010881107,0.004140843473521727
2015-01-26,7177.90625,7177.90625,7177.90625,7177.90625,1783930,8.878763010881107,0
2015-01-27,7163.074718153974,7163.074718153974,7118.583984375,7118.583984375,1969627,8.870464106028033,-0.008298904853074163
2015-01-28,7103.752441406251,7103.752441406251,7103.752441406251,7103.75244140625,1210446,8.868378436289786,-0.0020856697382463096
2015-01-29,7103.752441406251,7103.752441406251,7103.752441406251,7103.75244140625,1042301,8.868378436289786,0
2015-01-30,7118.584477882973,7118.584477882973,7044.43212890625,7044.43212890625,2727973,8.85999281482505,-0.008385621464736204
2015-02-02,7059.263482366087,7088.924425669675,7014.772067410707,7029.6025390625,101885,8.85788544537744,-0.0021073694476108074
2015-02-03,7029.601971009506,7044.432441462868,6970.28076171875,6970.28076171875,96201,8.849410784395051,-0.008474660982388471
2015-02-04,7029.60187403367,7029.60187403367,6925.789254814958,6955.4501953125,142576,8.847280831998466,-0.0021299523965847555
2015-02-05,6970.28095281136,7044.432634588372,6955.450481951415,6999.94189453125,84973,8.853657127221748,0.006376295223281758
2015-02-06,7044.432425213306,7044.432425213306,6999.94168647854,7014.771484375,53113,8.855773416720872,0.0021162894991242354
2015-02-09,7074.093576308262,7074.093576308262,6999.94189453125,6999.94189453125,67582,8.853657127221748,-0.0021162894991242354
2015-02-10,6999.941309464139,7014.7711065618705,6970.2803702233605,6985.11083984375,66547,8.851536139831984,-0.002120987389764295
2015-02-11,7014.77118931556,7044.43212890625,6999.94139204288,7044.43212890625,64731,8.85999281482505,0.00845667499306657
2015-02-12,7103.752830618399,7148.243560107291,7088.92236328125,7088.92236328125,202052,8.86628861407848,0.006295799253429379
2015-02-13,7118.583984375,7148.244249386777,7088.923046840605,7118.583984375,92328,8.870464106028033,0.004175491949553134
2015-02-25,7237.2297037922735,7266.889979630926,7177.907807069242,7192.73828125,241884,8.88082722400451,0.010363117976476488
2015-02-26,7177.905068419708,7266.88720703125,7177.905068419708,7266.88720703125,128488,8.891083309239988,0.010256085235479162
2015-02-27,7281.719749623122,7311.380695116235,7222.3985311596925,7237.22900390625,146245,8.886993677851216,-0.00408963138877283
2015-03-02,7266.889979630926,7266.889979630926,7177.907807069242,7192.73828125,218838,8.88082722400451,-0.006166453846706332
2015-03-03,7237.226357542653,7252.05615234375,7207.565422895355,7252.05615234375,99623,8.889040314859622,0.008213090855113236
2015-03-04,7296.548808078206,7489.343571368402,7296.548808078206,7415.19189453125,461341,8.911286133472673,0.02224581861305097
2015-03-05,7489.343571368402,7563.495920728223,7415.19189453125,7415.19189453125,182744,8.911286133472673,0
2015-03-06,7415.19189453125,7489.343571368402,7400.361424659286,7415.19189453125,155625,8.911286133472673,0
2015-03-09,7400.360949762962,7415.191418683225,7296.54833984375,7296.54833984375,192569,8.895156685158664,-0.01612944831400931
2015-03-10,7341.040415572992,7370.70068359375,7311.379475029549,7370.70068359375,152491,8.905268053065068,0.010111367906404212
2015-03-11,7370.700795816098,7370.700795816098,7326.210056846227,7341.04052734375,136127,8.901235872779884,-0.0040321802851845945
2015-03-12,7341.039746604537,7341.039746604537,7281.717870923488,7296.54833984375,170949,8.895156685158664,-0.006079187621219617
2015-03-13,7341.039746604537,7370.700011922438,7281.717870923488,7296.54833984375,132087,8.895156685158664,0
2015-03-16,7296.549020330752,7326.2099609375,7296.549020330752,7326.2099609375,99600,8.899213602624707,0.004056917466042975
2015-03-17,7341.040217694098,7489.343571368402,7341.040217694098,7415.19189453125,333210,8.911286133472673,0.012072530847966334
2015-03-18,7415.191505280079,7415.191505280079,7355.86962890625,7355.86962890625,106073,8.903253862471214,-0.008032271001459534
2015-03-19,7400.361736811144,7415.192207308666,7341.04052734375,7341.04052734375,117218,8.901235872779884,-0.0020179896913301576
2015-03-20,7341.040996468227,7400.362209726503,7326.210525022972,7385.53173828125,132036,8.9072781948488835,0.006042322068999795
2015-03-23,7385.53116962831,7400.361639931683,7326.2099609375,7326.2099609375,127647,8.899213602624707,-0.008064592224176437
2015-03-24,7341.041617360859,7341.041617360859,7237.228980986526,7281.7197265625,162080,8.893122339469889,-0.006091263154818449
2015-03-25,7341.039746604537,7341.039746604537,7266.887402003225,7296.54833984375,102674,8.895156685158664,0.002034345688775474
2015-03-26,7326.209864639688,7326.209864639688,7296.548924422812,7311.37939453125,128195,8.89718723460456,0.0020305494458963125
2015-03-27,7355.869543002175,7355.869543002175,7296.54833984375,7296.54833984375,105353,8.895156685158664,-0.0020305494458963125
2015-03-30,7326.210287113822,7326.210287113822,7177.90625,7177.90625,191813,8.878763010881107,-0.016393674277557224
2015-03-31,7177.90625,7222.397662890962,7177.90625,7177.90625,108316,8.878763010881107,0
2015-04-01,7222.396294164776,7222.396294164776,7074.09228515625,7074.09228515625,125799,8.864194415362583,-0.014568595518523964
2015-04-02,7088.925753142277,7192.738401622046,7074.095278713328,7133.41650390625,78026,8.872545571699973,0.008351156337390364
2015-04-03,7192.7375856665785,7237.229003906249,7133.415694680351,7237.22900390625,54162,8.886993677851216,0.014448106151242257
2015-04-06,7237.2297037922735,7281.720453811683,7192.73828125,7192.73828125,78091,8.88082722400451,-0.006166453846706332
2015-04-07,7177.904488248056,7266.8866196674,7177.904488248056,7252.05615234375,69756,8.889040314859622,0.008213090855113236
2015-04-08,7266.8866196674,7281.717086991049,7237.226357542653,7252.05615234375,75486,8.889040314859622,0
2015-04-09,7252.05615234375,7266.8866196674,7192.734955571705,7252.05615234375,120245,8.889040314859622,0
2015-04-10,7252.056933082963,7326.209277684275,7237.227136685325,7296.54833984375,160283,8.895156685158664,0.006116370299041662
2015-04-13,7296.54833984375,7326.209277684275,7281.717870923488,7296.54833984375,76182,8.895156685158664,0
2015-04-14,7296.551114337167,7296.551114337167,7222.3994140625,7222.3994140625,104151,8.884942505495403,-0.010214179663261547
2015-04-15,7252.05615234375,7266.8866196674,7192.734955571705,7252.05615234375,103556,8.889040314859622,0.004097809364219884
2015-04-16,7252.058804130008,7296.5502223696785,7222.3985311596925,7237.22900390625,70968,8.886993677851216,-0.002046637008406904
2015-04-17,7252.057564359655,7637.647772283438,7252.057564359655,7563.49609375,695457,8.931088808541487,0.04409513069027149
2015-04-20,7563.497580475698,7563.497580475698,7400.3630486082275,7489.34521484375,166556,8.921236651440639,-0.009852157100848302
2015-04-21,7489.343571368402,7563.495920728223,7415.19189453125,7415.19189453125,122577,8.911286133472673,-0.009950517967965311
2015-04-22,7415.19189453125,7563.495920728223,7415.19189453125,7415.19189453125,250336,8.911286133472673,0
2015-04-23,7489.34521484375,7563.497580475698,7385.532575481838,7489.34521484375,297844,8.921236651440639,0.009950517967965311
2015-04-24,7489.34521484375,7563.497580475698,7415.193521734617,7489.34521484375,124638,8.921236651440639,0
2015-04-27,7637.6484375,7785.952480006404,7563.496752508169,7637.6484375,295685,8.94084503864287,0.019608387202231015
2015-05-04,7637.647819740294,7711.799498734477,7266.888079724004,7326.2099609375,379976,8.899213602624707,-0.04163143601816266
2015-05-05,7326.209747822134,7489.343571368402,7296.548808078206,7415.19189453125,206375,8.911286133472673,0.012072530847966334
2015-05-06,7415.191505280079,7489.343178224732,7355.86962890625,7355.86962890625,188803,8.903253862471214,-0.008032271001459534
2015-05-07,7385.531833051942,7489.344461978099,7355.870889780827,7400.3623046875,122391,8.909284238086661,0.00603037561544717
2015-05-08,7400.3623046875,7489.344461978099,7400.3623046875,7400.3623046875,111947,8.909284238086661,0
2015-05-11,7415.192094408914,7415.192094408914,7355.870213322028,7370.70068359375,106482,8.905268053065068,-0.004016185021592733
2015-05-12,7370.700011922438,7370.700011922438,7296.54833984375,7296.54833984375,117594,8.895156685158664,-0.010111367906404212
2015-05-13,7296.54833984375,7311.378808764012,7222.396667765062,7296.54833984375,218875,8.895156685158664,0
2015-05-14,7266.887984205936,7355.870132333885,7266.887984205936,7311.37939453125,132333,8.89718723460456,0.0020305494458963125
2015-05-15,7326.21114466127,7355.871417537653,7281.7197265625,7281.7197265625,103445,8.893122339469889,-0.0040648951346717865
2015-05-18,7266.8892768765645,7296.5502223696785,7237.229003906249,7237.22900390625,229040,8.886993677851216,-0.0061286616186730924
2015-05-19,7222.396667765062,7296.54833984375,7222.396667765062,7296.54833984375,121332,8.895156685158664,0.008163007307448567
2015-05-20,7355.870183315542,7563.496093749999,7341.040385627001,7563.49609375,495875,8.931088808541487,0.03593212338282292
2015-05-21,7563.496430412661,7860.103830271542,7489.344076055907,7785.9521484375,913321,8.960076382304804,0.028987573763316732
2015-05-22,7785.9521591462435,7860.103841082273,7711.7998046875,7711.7998046875,297176,8.950506877017693,-0.009569505287110758
2015-05-25,7711.798707684194,8008.40673828125,7711.798707684194,8008.40673828125,554510,8.988247111198875,0.03774023418118233
2015-05-26,7934.2568527887825,8008.408540867294,7860.1044921875,7860.1044921875,442831,8.969555179506322,-0.0186919316925529
2015-05-27,7860.103830271542,7934.256184628298,7711.799794080745,7785.9521484375,564991,8.960076382304804,-0.009478797201518674
2015-05-28,7910.678825848347,7980.223521785288,7841.134129911405,7893.29248046875,467751,8.97376862470015,0.013692242395345389
2015-05-29,7910.677904200872,7910.677904200872,7806.36121523978,7823.74755859375,144488,8.964918946188215,-0.0088496785119343
2015-06-01,7806.361616194059,7806.361616194059,7702.044921875,7702.044921875,301922,8.949241146852652,-0.015677799335563236
2015-06-02,7702.045213899243,7702.045213899243,7597.728515625001,7597.728515625,319002,8.93560460207801,-0.01363654477464138
2015-06-03,7597.728144978843,7788.975187291386,7580.3424865022225,7684.6591796875,257796,8.946981306217301,0.01137670413929115
2015-06-04,7684.659149943708,7736.816810753077,7684.659149943708,7719.43115234375,90655,8.951495955374387,0.0045146491570857705
2015-06-05,7736.817236675355,7806.361930885357,7684.659572994635,7788.9755859375,233544,8.960464626486676,0.008968671112288717
2015-06-08,7823.747960441035,7841.133619106613,7702.044921875,7702.044921875,282233,8.949241146852652,-0.011223479634024258
2015-06-09,7684.659263209422,7858.5199633535885,7684.659263209422,7702.044921875,249849,8.949241146852652,0
2015-06-10,7702.045263806159,7771.589958300091,7667.273259349907,7754.20361328125,100862,8.955990377014462,0.006749230161810615
2015-06-11,7754.203581623212,7806.361930885357,7754.203581623212,7788.9755859375,169592,8.960464626486676,0.004474249472213643
2015-06-12,7806.36129928033,7875.905987863539,7806.36129928033,7841.13330078125,304195,8.967138656568656,0.006674030081979865
2015-06-15,7893.291560846903,7893.291560846903,7788.974871885811,7823.74755859375,137955,8.964918946188215,-0.002219710380440887
2015-06-16,7823.746942309594,7858.518940697146,7736.815917968749,7736.81591796875,193565,8.953745501836366,-0.011173444351848971
2015-06-17,7719.43115234375,7754.203154743793,7702.0448083530355,7719.43115234375,195176,8.951495955374387,-0.002249546461978724
