model,variance_model,distribution,status,convergence,log_likelihood,aic,bic,persistence,error,ljung_box_residual_p,ljung_box_squared_p,arch_lm_p,sign_bias_joint_p,nyblom_joint,nyblom_5pct_critical,pearson_group20_p,aic_rank,delta_aic,core_diagnostics_pass,sign_bias_pass,parameter_stability_pass,distribution_fit_pass,persistence_warning,provisional_candidate,evidence_assessment
gjrGARCH-Student-t,gjrGARCH,std,converged,0,7854.756429637226,-5.634426726229163,-5.621650641187514,0.9857422002885184,NA,0.8679818781019457,0.6318449163214399,0.3659312508282916,0.08642224721100716,27.34784561275683,1.68,5.374344594419883e-14,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Core diagnostics pass, but parameter stability is rejected"
eGARCH-Student-t,eGARCH,std,converged,0,7852.849826085837,-5.633058023033622,-5.620281937991972,0.9626701310386816,NA,0.8772570474613526,0.8423212163306125,0.6458066468264198,0.10171828163350446,1.5047618217213727,1.68,1.9854536933115005e-15,2,0.0013687031955411655,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Core diagnostics and joint stability pass; distribution GOF remains a limitation
sGARCH-Student-t,sGARCH,std,converged,0,7850.002885799641,-5.6317321506099365,-5.621085413075228,0.9891369162085454,NA,0.8585201427341621,0.7831959149949697,0.49370444485267817,0.06010716614375426,11.889827095523572,1.47,1.3698006615686247e-11,3,0.0026945756192269243,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Core diagnostics pass, but parameter stability is rejected"
sGARCH-Normal,sGARCH,norm,converged,0,7675.669031004736,-5.507300094045037,-5.49878270401727,0.9645096385732512,NA,0.8172779332381602,0.881077368877699,0.8096225937560271,0.10291101358455076,12.899143598290529,1.24,2.790867134451415e-40,4,0.127126632184126,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Core diagnostics pass, but parameter stability is rejected"
