model,parameter,estimate,std_error,p_value,robust_std_error,robust_p_value
sGARCH-Normal,mu,0.00115144547359355,2.6485051915453014e-4,1.3767948984888534e-5,2.746182303907215e-4,2.754166390106505e-5
sGARCH-Normal,omega,9.807014196137253e-6,4.792867241042284e-7,0,7.499363703225812e-7,0
sGARCH-Normal,alpha1,0.07837255694187042,0.005385318778375679,0,0.006438313495533187,0
sGARCH-Normal,beta1,0.8861370816313808,0.0065994056833138795,0,0.009790172094953734,0
sGARCH-Student-t,mu,6.577137739304512e-4,2.1964667578017581e-4,0.0027496971719875862,1.9376391004034512e-4,6.877713427100307e-4
sGARCH-Student-t,omega,8.842908245401315e-6,3.546111039284696e-6,0.012642223938775787,9.24162765209283e-6,0.33863986708094584
sGARCH-Student-t,alpha1,0.1187471345044179,0.010416123758847238,0,0.04049430768417552,0.0033630971554119427
sGARCH-Student-t,beta1,0.8703897817041275,0.00650857002910322,0,0.029902935783046748,0
sGARCH-Student-t,shape,3.649915488382014,0.03109820616017673,0,0.6364399039652809,9.757325836190489e-9
eGARCH-Student-t,mu,4.7706160663416465e-4,2.2710607472183612e-4,0.035675093635890054,2.3308249841796138e-4,0.040682635957752344
eGARCH-Student-t,omega,-0.30388743249585354,0.042127114454180485,5.448974604860268e-13,0.04988899731525635,1.120173287461057e-9
eGARCH-Student-t,alpha1,-0.047985597850784684,0.022958165408283198,0.03660593730785444,0.03495966704096522,0.16987709785467886
eGARCH-Student-t,beta1,0.9626701310386816,0.005070816320664365,0,0.005892383328423446,0
eGARCH-Student-t,gamma1,0.24023602655450066,0.029412592731640503,2.220446049250313e-16,0.028302039782236582,0
eGARCH-Student-t,shape,3.5964392843745534,0.27583253166611427,0,0.26043551967759326,0
gjrGARCH-Student-t,mu,5.285301756695062e-4,2.256311397286704e-4,0.01915748413193641,2.1444474375242217e-4,0.013714904057939625
gjrGARCH-Student-t,omega,1.0695004797924914e-5,1.5436218445665752e-6,4.252820318129125e-12,2.154961207740475e-6,6.942381098884454e-7
gjrGARCH-Student-t,alpha1,0.08451388614447272,0.005482615658051066,0,0.017101159129151198,7.732619651257266e-7
gjrGARCH-Student-t,beta1,0.8594156862969697,0.01132468753484248,0,0.011961302930772254,0
gjrGARCH-Student-t,gamma1,0.08362525569529915,0.02744116684513508,0.002308011026774137,0.029801100868351502,0.00501431090561022
gjrGARCH-Student-t,shape,3.686319975173781,0.1974550588355623,0,0.2672013477847093,0
