model,variance_model,distribution,status,convergence,log_likelihood,aic,bic,persistence,error
gjrGARCH-Student-t,gjrGARCH,std,converged,0,7854.756429637226,-5.634426726229163,-5.621650641187514,0.9857422002885184,NA
eGARCH-Student-t,eGARCH,std,converged,0,7852.849826085837,-5.633058023033622,-5.620281937991972,0.9626701310386816,NA
sGARCH-Student-t,sGARCH,std,converged,0,7850.002885799641,-5.6317321506099365,-5.621085413075228,0.9891369162085454,NA
sGARCH-Normal,sGARCH,norm,converged,0,7675.669031004736,-5.507300094045037,-5.49878270401727,0.9645096385732512,NA
