model,convergence,persistence,ljung_box_residual_p,ljung_box_squared_p,arch_lm_p,sign_bias_joint_p,nyblom_joint,nyblom_5pct_critical,pearson_group20_p
sGARCH-Normal,0,0.9645096385732512,0.8172779332381602,0.881077368877699,0.8096225937560271,0.10291101358455075,12.899143598290529,1.24,2.790867134451415e-40
sGARCH-Student-t,0,0.9891369162085454,0.8585201427341621,0.7831959149949697,0.49370444485267817,0.06010716614375426,11.889827095523572,1.47,1.3698006615686249e-11
eGARCH-Student-t,0,0.9626701310386816,0.8772570474613526,0.8423212163306125,0.6458066468264198,0.10171828163350446,1.5047618217213727,1.68,1.9854536933115005e-15
gjrGARCH-Student-t,0,0.9857422002885184,0.8679818781019457,0.6318449163214399,0.3659312508282916,0.08642224721100716,27.34784561275683,1.68,5.3743445944198836e-14
