Parameter,Estimate,StdError,t_value,Pr_z
mu,0.00115144547359355,2.6485051915453014e-4,4.3475296075282595,1.3767948984888534e-5
omega,9.807014196137253e-6,4.792867241042284e-7,20.461685464929683,0
alpha1,0.07837255694187042,0.005385318778375679,14.553002369436182,0
beta1,0.8861370816313808,0.0065994056833138795,134.27528540515615,0
Log-Likelihood,7675.669031004736,NA,NA,NA
AIC,-5.507300094045037,NA,NA,NA
BIC,-5.49878270401727,NA,NA,NA
