date,return,volatility
2015-01-06,0.00625695762149369,0.0165820136805064
2015-01-07,0.00621743918113359,0.015984522546467858
2015-01-08,-0.01038457459132047,0.015434727432594957
2015-01-09,0.00831629617611184,0.015209930003892853
2015-01-12,0.00619191049710465,0.014792936656060612
2015-01-13,0.00205586253239964,0.01434267797168353
2015-01-14,-0.00205586253239964,0.01386219739097378
2015-01-15,0.00205586253239964,0.013449675767396483
2015-01-16,-0.00411528149089335,0.013044838264828214
2015-01-19,-0.01036311797647648,0.01275825015303544
2015-01-20,0,0.01282330680008745
2015-01-21,0.00829890485307416,0.012474967765107588
2015-01-22,-0.00414084347352172,0.012317292433047002
2015-01-23,0.00414084347352172,0.012101363533001067
2015-01-26,0,0.011843815375927713
2015-01-27,-0.00829890485307416,0.011585104867748889
2015-01-28,-0.0020856697382463,0.011650707313469882
2015-01-29,0,0.011441661503139567
2015-01-30,-0.0083856214647362,0.0112212549078528
2015-02-02,-0.0021073694476108,0.011336435738132486
2015-02-03,-0.00847466098238847,0.011158899086020687
2015-02-04,-0.00212995239658475,0.011287686534541746
2015-02-05,0.0063762952232817504,0.011115542119065536
2015-02-06,0.00211628949912423,0.01101968344184174
2015-02-09,-0.00211628949912423,0.010839125070776164
2015-02-10,-0.00212098738976429,0.010712289439461122
2015-02-11,0.00845667499306657,0.010598740897072073
2015-02-12,0.00629579925342937,0.010655148238126712
2015-02-13,0.00417549194955313,0.010605949895060585
2015-02-25,0.01036311797647648,0.010497708761991307
2015-02-26,0.01025608523547916,0.01068228866007271
2015-02-27,-0.00408963138877283,0.010836139155289361
2015-03-02,-0.00616645384670633,0.010770874213220736
2015-03-03,0.00821309085511323,0.01080769591520672
2015-03-04,0.02224581861305097,0.010826892048017924
2015-03-05,0,0.012188316201966153
2015-03-06,0,0.011897523386037681
2015-03-09,-0.01612944831400931,0.011633768445550686
2015-03-10,0.01011136790640421,0.012375184683789366
2015-03-11,-0.00403218028518459,0.012320974658598157
2015-03-12,-0.00607918762121961,0.01210099904324092
2015-03-13,0,0.011986043864892089
2015-03-16,0.00405691746604297,0.011714009808860488
2015-03-17,0.01207253084796633,0.011491849199828976
2015-03-18,-0.00803227100145953,0.011669622211675107
2015-03-19,-0.00201798969133015,0.011708596303399432
2015-03-20,0.00604232206899979,0.011492428451556371
2015-03-23,-0.00806459222417643,0.011345444087006589
2015-03-24,-0.00609126315481844,0.011424814387901062
2015-03-25,0.00203434568877547,0.011383429130619786
2015-03-26,0.00203054944589631,0.011166733114629174
2015-03-27,-0.00203054944589631,0.010971110632197635
2015-03-30,-0.01639367427755722,0.010828696656626953
2015-03-31,0,0.011740594687170768
2015-04-01,-0.01456859551852396,0.011491624929768608
2015-04-02,0.00835115633739036,0.01209112954573915
2015-04-03,0.01444810615124225,0.011975754610144352
2015-04-06,-0.00616645384670633,0.012278110688266916
2015-04-07,0.00821309085511323,0.012148700882755215
2015-04-08,0,0.01202085705626559
2015-04-09,0,0.011745578782066602
2015-04-10,0.00611637029904166,0.011496137279800754
2015-04-13,0,0.011351292913334771
2015-04-14,-0.01021417966326154,0.011139628613986709
2015-04-15,0.00409780936421988,0.011397056867049353
2015-04-16,-0.0020466370084069,0.01120670741319233
2015-04-17,0.04409513069027149,0.011040779033116477
2015-04-20,-0.0098521571008483,0.016197456744752724
2015-04-21,-0.00995051796796531,0.015867611937070564
2015-04-22,0,0.015574957147468553
2015-04-23,0.00995051796796531,0.014995646930250616
2015-04-24,0,0.014667652960671735
2015-04-27,0.01960838720223101,0.014161726335483005
2015-05-04,-0.04163143601816266,0.014636395743478412
2015-05-05,0.01207253084796633,0.01852269096206528
2015-05-06,-0.00803227100145953,0.017977189991783066
2015-05-07,0.00603037561544717,0.01740109828061357
2015-05-08,0,0.016733001032793737
2015-05-11,-0.00401618502159273,0.01606310646300445
2015-05-12,-0.01011136790640421,0.015509480965779192
2015-05-13,0,0.015261179728427627
2015-05-14,0.00203054944589631,0.014706986263968326
2015-05-15,-0.00406489513467178,0.014196302220914515
2015-05-18,-0.00612866161867309,0.013803158397323647
2015-05-19,0.00816300730744856,0.013520131557136664
2015-05-20,0.03593212338282292,0.013252941925134504
2015-05-21,0.02898757376331673,0.016132435688327337
2015-05-22,-0.00956950528711075,0.01735384757211555
2015-05-25,0.03774023418118233,0.016902088104349785
2015-05-26,-0.0186919316925529,0.019180187854935644
2015-05-27,-0.00947879720151867,0.019148334726940212
2015-05-28,0.01369224239534538,0.018535726722078903
2015-05-29,-0.0088496785119343,0.01807168261396608
2015-06-01,-0.01567779933556323,0.0175227207350605
2015-06-02,-0.01363654477464138,0.017438135802971468
2015-06-03,0.01137670413929115,0.017216563446499404
2015-06-04,0.00451464915708577,0.01675294813980323
2015-06-05,0.00896867111228871,0.016105833012481436
2015-06-08,-0.01122347963402425,0.015635163705329143
2015-06-09,0,0.015441259498295754
2015-06-10,0.00674923016181061,0.014872619063709182
2015-06-11,0.00447424947221364,0.014431623125397659
2015-06-12,0.00667403008197986,0.013972460230174746
2015-06-15,-0.00221971038044088,0.01360872962228803
2015-06-16,-0.01117344435184897,0.013221500889135542
2015-06-17,-0.00224954646197872,0.01328969377224187
2015-06-18,0.00224954646197872,0.012931337190221787
2015-06-19,0.00671912465030999,0.012573022755019328
2015-06-22,0.01769964088796527,0.012341711290082606
2015-06-23,-0.00219559130284707,0.012893535452278221
2015-06-24,-0.00661503892434289,0.01256977760531061
