model,rmse,mape,aic,bic,type
Naive,1939.8487485063638,2.105633852910356,NA,NA,NA
Drift,2020.6726255205251,2.2306769654991956,NA,NA,NA
ARIMA,2119.631689855626,2.3750986514728356,45588.97099300174,45630.41666075676,Base
SARIMA,1983.4991875877845,2.1858864555461155,45588.358885403206,45612.04212412036,Improved
ETS,1986.7176075677535,2.082120856771334,55497.15826119734,55526.764124805275,Base
ETS Damped,1939.126604983946,2.1039101567473044,55506.083122351454,55541.610158680975,Improved
ARIMAX (Lagged),2025.855490474367,2.238563173609403,45601.256734131275,45630.86078252772,Improved
