variable,count,mean,median,sd,min,max
close,2787,40798.248960891244,21344.078125,34871.6976290608,6955.4501953125,129855.7265625
volume,2787,4187990.084320057,2913864,9925516.626414372,53113,415709889
return,2786,8.365237989656389e-4,0,0.016581999170020293,-0.07247559929703229,0.08852962653375229
