model,split,rmse,mae,mape,cv_mean_rmse,cv_mean_mae,cv_mean_mape,cv_median_mape,residual_ljung_box_statistic,residual_ljung_box_p,residual_white_noise,final_rmse_rank,cv_rmse_rank,beats_naive_final,beats_naive_cv,residual_diagnostic_pass,evidence_assessment
ETS Damped,Final 30 days,1939.126604983946,1524.154465164081,2.1039101567473044,5404.76203697,4705.633307099092,4.741250771841616,4.1876312590443705,19.595289425603763,0.00148816647077754,No (Reject H0),1,3,TRUE,FALSE,FALSE,"Mixed evidence across holdout, rolling CV, or residual diagnostics"
Naive,Final 30 days,1939.848748506364,1525.3255208333333,2.105633852910356,5353.94237330923,4658.998553240741,4.700771042189909,4.019423733159499,NA,NA,NA,2,1,FALSE,FALSE,NA,Benchmark
SARIMA,Final 30 days,1983.4991875877845,1581.4951999543032,2.1858864555461155,NA,NA,NA,NA,25.072997925461447,0.00151088948301902,No (Reject H0),3,NA,FALSE,NA,FALSE,Holdout result available; rolling CV not available
ETS,Final 30 days,1986.7176075677537,1519.2321455137644,2.082120856771334,5476.865528725226,4790.972423838221,4.808417692153339,4.293492307217167,19.87304655259858,0.00291720695591923,No (Reject H0),4,4,FALSE,FALSE,FALSE,"Mixed evidence across holdout, rolling CV, or residual diagnostics"
Drift,Final 30 days,2020.6726255205251,1609.285334683644,2.2306769654991956,5397.317995562176,4708.234560968462,4.755083145747233,4.289823226318718,NA,NA,NA,5,2,FALSE,FALSE,NA,Benchmark
ARIMAX (Lagged),Final 30 days,2025.855490474367,1614.202683773665,2.238563173609403,NA,NA,NA,NA,33.10920037984231,2.611111204835481e-4,No (Reject H0),6,NA,FALSE,NA,FALSE,Holdout result available; rolling CV not available
ARIMA,Final 30 days,2119.631689855626,1711.4038520111988,2.3750986514728356,6501.434991454203,5564.017468596724,5.574484695002196,4.374231965906226,23.632476463577188,2.55414245233343e-4,No (Reject H0),7,5,FALSE,FALSE,FALSE,"Mixed evidence across holdout, rolling CV, or residual diagnostics"
