model,split,rmse,mae,mape
Naive,Final 30 days,1939.8487485063638,1525.3255208333333,2.105633852910356
Drift,Final 30 days,2020.6726255205251,1609.285334683644,2.2306769654991956
ARIMA,Final 30 days,2119.631689855626,1711.4038520111988,2.3750986514728356
SARIMA,Final 30 days,1983.4991875877845,1581.4951999543032,2.1858864555461155
ETS,Final 30 days,1986.7176075677535,1519.2321455137644,2.082120856771334
ETS Damped,Final 30 days,1939.126604983946,1524.154465164081,2.1039101567473044
ARIMAX (Lagged),Final 30 days,2025.855490474367,1614.202683773665,2.238563173609403
