model,lb_statistic,lb_p_value,test_lag,fitdf,white_noise
ARIMA,23.632476463577188,2.55414245233343e-4,10,5,No (Reject H0)
SARIMA,25.072997925461447,7.365173561268978e-4,10,3,No (Reject H0)
ETS,19.87304655259858,0.002917206955919238,10,4,No (Reject H0)
ETS Damped,19.595289425603763,0.001488166470777541,10,5,No (Reject H0)
ARIMAX,33.10920037984231,2.611111204835481e-4,10,0,No (Reject H0)
